"Store No.","Name","Latitude","Longitude","Address","Street","City","State","Zip_Code","County","Phone","Open Hours","URL","Provider","Category","Updated Date","Country","Status","Direction URL"
"11973","Madisonvle-H411","35.51117","-84.367407","840 Patterson St, Madisonville, TN, 37354","840 Patterson St","Madisonville","TN","37354","Monroe","423-442-1812","","https://www.mcdonalds.com/us/en-us/location/tn/madisonville/840-patterson-st/11973.html","McDonalds","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/840+Patterson+St,+Madisonville,+TN,+37354,+USA/"
"037154","Taco Bell Kingsport","36.5523039","-82.62671505","4200 W Stone Drive, Kingsport, TN, 37660","4200 W Stone Drive","Kingsport","TN","37660","Sullivan","423-246-5541","monday:9:00-22:00|tuesday:9:00-22:00|wednesday:9:00-22:00|thursday:9:00-22:00|friday:9:00-22:00|saturday:9:00-22:00|sunday:9:00-22:00","https://locations.tacobell.com/tn/kingsport/4200-w-stone-drive.html","Taco Bell","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/4200+W+Stone+Drive,+Kingsport,+TN,+37660,+USA/"
"034684","Taco Bell Humboldt","35.8335574","-88.91564899","2479 N Central Avenue, Humboldt, TN, 38343","2479 N Central Avenue","Humboldt","TN","38343","Gibson","731-784-8391","monday:10:00-22:00|tuesday:10:00-22:00|wednesday:10:00-22:00|thursday:10:00-22:00|friday:10:00-22:00|saturday:10:00-22:00|sunday:10:00-22:00","https://locations.tacobell.com/tn/humboldt/2479-n-central-avenue.html","Taco Bell","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/2479+N+Central+Avenue,+Humboldt,+TN,+38343,+USA/"
"10725","Lewisburg/Elling","35.446775","-86.775723","141 N Ellington Pky, Lewisburg, TN, 37091","141 N Ellington Pky","Lewisburg","TN","37091","Marshall","931-359-8601","monday :- 05:00 - 00:00 | tuesday :- 05:00 - 00:00 | wednesday :- 05:00 - 00:00 | thursday :- 05:00 - 00:00 | friday :- 05:00 - 00:00 | saturday :- 05:00 - 00:00 | sunday :- 05:00 - 00:00","https://www.mcdonalds.com/us/en-us/location/tn/lewisburg/141-n-ellington-pky/10725.html","McDonalds","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/141+N+Ellington+Pky,+Lewisburg,+TN,+37091,+USA/"
"6253","Sweetwtr-I-75","35.599205","-84.510459","223 Hwy 68, Cleveland, TN, 37312","223 Hwy 68","Cleveland","TN","37312","Bradley","423-337-9773","","https://www.mcdonalds.com/us/en-us/location/tn/sweetwater/223-hwy-68/6253.html","McDonalds","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/223+Hwy+68,+Cleveland,+TN,+37312,+USA/"
"11545","Livingstn-Overtn","36.379146","-85.333717","820 W Main St, Livingston, TN, 38570","820 W Main St","Livingston","TN","38570","Overton","931-823-7999","monday :- 04:00 - 23:00 | tuesday :- 04:00 - 23:00 | wednesday :- 04:00 - 23:00 | thursday :- 04:00 - 23:00 | friday :- 04:00 - 00:00 | saturday :- 04:00 - 00:00 | sunday :- 04:00 - 23:00","https://www.mcdonalds.com/us/en-us/location/tn/livingston/820-w-main-st/11545.html","McDonalds","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/820+W+Main+St,+Livingston,+TN,+38570,+USA/"
"6970","Oneida-Us 27","36.515509","-84.506322","19820 Alberta St, Oneida, TN, 37841","19820 Alberta St","Oneida","TN","37841","Scott","423-286-7800","monday :- 05:00 - 00:00 | tuesday :- 05:00 - 00:00 | wednesday :- 05:00 - 00:00 | thursday :- 05:00 - 00:00 | friday :- 05:00 - 01:00 | saturday :- 05:00 - 01:00 | sunday :- 05:00 - 00:00","https://www.mcdonalds.com/us/en-us/location/tn/oneida/19820-alberta-st/6970.html","McDonalds","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/19820+Alberta+St,+Oneida,+TN,+37841,+USA/"
"25526","Greenville","36.147469","-82.847765","504 Asheville Hwy, Greeneville, TN, 37743","504 Asheville Hwy","Greeneville","TN","37743","Greene","423-636-2673","monday :- 06:00 - 22:00 | tuesday :- 06:00 - 22:00 | wednesday :- 06:00 - 22:00 | thursday :- 06:00 - 22:00 | friday :- 06:00 - 22:00 | saturday :- 06:00 - 22:00 | sunday :- 06:00 - 22:00","https://www.mcdonalds.com/us/en-us/location/tn/greeneville/504-asheville-hwy/25526.html","McDonalds","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/504+Asheville+Hwy,+Greeneville,+TN,+37743,+USA/"
"38625","Greenbrier, Tn","36.427472","-86.80477","Us 41s & College Street, Greenbrier, TN, 37073","Us 41s & College Street","Greenbrier","TN","37073","Robertson","615-863-2450","monday :- 05:00 - 23:00 | tuesday :- 05:00 - 23:00 | wednesday :- 05:00 - 23:00 | thursday :- 05:00 - 23:00 | friday :- 05:00 - 23:00 | saturday :- 05:00 - 23:00 | sunday :- 05:00 - 23:00","https://www.mcdonalds.com/us/en-us/location/tn/greenbrier/us-41s-&-college-street/38625.html","McDonalds","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/Us+41s+&+College+Street,+Greenbrier,+TN,+37073,+USA/"
"12420","Dickson Tn 46&40","36.022556","-87.338021","1005 Christi Rd, Dickson, TN, 37055","1005 Christi Rd","Dickson","TN","37055","Dickson","615-441-1470","monday :- 05:00 - 23:00 | tuesday :- 05:00 - 23:00 | wednesday :- 05:00 - 23:00 | thursday :- 05:00 - 23:00 | friday :- 05:00 - 23:00 | saturday :- 05:00 - 23:00 | sunday :- 05:00 - 23:00","https://www.mcdonalds.com/us/en-us/location/tn/dickson/1005-christi-rd/12420.html","McDonalds","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/1005+Christi+Rd,+Dickson,+TN,+37055,+USA/"
"6401","Lawrencebg-Locus","35.255701","-87.324948","1216 N Locust Ave, Lawrenceburg, TN, 38464","1216 N Locust Ave","Lawrenceburg","TN","38464","Lawrence","931-762-2454","monday :- 00:00 - 00:00 | tuesday :- 00:00 - 00:00 | wednesday :- 00:00 - 00:00 | thursday :- 00:00 - 00:00 | friday :- 00:00 - 00:00 | saturday :- 00:00 - 00:00 | sunday :- 00:00 - 00:00","https://www.mcdonalds.com/us/en-us/location/tn/lawrenceburg/1216-n-locust-ave/6401.html","McDonalds","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/1216+N+Locust+Ave,+Lawrenceburg,+TN,+38464,+USA/"
"33377","Newbern","36.122125","-89.276345","600 A W Highway 77, Newbern, TN, 38059","600 A W Highway 77","Newbern","TN","38059","Dyer","731-627-0029","monday :- 05:30 - 23:00 | tuesday :- 05:30 - 23:00 | wednesday :- 05:30 - 23:00 | thursday :- 05:30 - 23:00 | friday :- 05:30 - 00:00 | saturday :- 05:30 - 00:00 | sunday :- 05:30 - 23:00","https://www.mcdonalds.com/us/en-us/location/tn/newbern/600-a-w-highway-77/33377.html","McDonalds","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/600+A+W+Highway+77,+Newbern,+TN,+38059,+USA/"
"12945","Portland Tn","36.575838","-86.514752","401 S Broadway, Portland, TN, 37148","401 S Broadway","Portland","TN","37148","Sumner","615-325-5054","monday :- 05:00 - 22:00 | tuesday :- 05:00 - 22:00 | wednesday :- 05:00 - 22:00 | thursday :- 05:00 - 22:00 | friday :- 05:00 - 22:00 | saturday :- 05:00 - 22:00 | sunday :- 05:00 - 22:00","https://www.mcdonalds.com/us/en-us/location/tn/portland/401-s-broadway/12945.html","McDonalds","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/401+S+Broadway,+Portland,+TN,+37148,+USA/"
"18322","Gordorsvl/Hwy 53","36.180251","-85.947097","481 Gordonsville Hwy, Gordonsville, TN, 38563","481 Gordonsville Hwy","Gordonsville","TN","38563","Smith","615-683-1000","monday :- 05:00 - 23:00 | tuesday :- 05:00 - 23:00 | wednesday :- 05:00 - 23:00 | thursday :- 05:00 - 23:00 | friday :- 05:00 - 00:00 | saturday :- 05:00 - 00:00 | sunday :- 05:00 - 23:00","https://www.mcdonalds.com/us/en-us/location/tn/gordonsville/481-gordonsville-hwy/18322.html","McDonalds","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/481+Gordonsville+Hwy,+Gordonsville,+TN,+38563,+USA/"
"7349","Dayton-Abel","35.475206","-85.02942","130 Abel Dr, Dayton, TN, 37321","130 Abel Dr","Dayton","TN","37321","Rhea","423-775-2023","monday :- 05:00 - 23:00 | tuesday :- 05:00 - 23:00 | wednesday :- 05:00 - 23:00 | thursday :- 05:00 - 23:00 | friday :- 05:00 - 00:00 | saturday :- 05:00 - 00:00 | sunday :- 05:00 - 23:00","https://www.mcdonalds.com/us/en-us/location/tn/dayton/130-abel-dr/7349.html","McDonalds","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/130+Abel+Dr,+Dayton,+TN,+37321,+USA/"
"029062","Taco Bell Bulls Gap","36.22528214","-83.0461478","14050 W Andrew Johnson Hwy, Bulls Gap, TN, 37711","14050 W Andrew Johnson Hwy","Bulls Gap","TN","37711","Hawkins","423-235-9278","monday:9:00-22:00|tuesday:9:00-22:00|wednesday:9:00-22:00|thursday:9:00-22:00|friday:9:00-22:00|saturday:9:00-22:00|sunday:9:00-22:00","https://locations.tacobell.com/tn/bulls-gap/14050-w-andrew-johnson-hwy.html","Taco Bell","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/14050+W+Andrew+Johnson+Hwy,+Bulls+Gap,+TN,+37711,+USA/"
"019694","Taco Bell Kingston","35.87624653","-84.51258818","514 N Kentucky St, Kingston, TN, 37763","514 N Kentucky St","Kingston","TN","37763","Roane","865-717-6214","monday:7:00-23:00|tuesday:7:00-23:00|wednesday:7:00-23:00|thursday:7:00-23:00|friday:7:00-23:30|saturday:7:00-23:30|sunday:8:00-23:00","https://locations.tacobell.com/tn/kingston/514-n-kentucky-st.html","Taco Bell","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/514+N+Kentucky+St,+Kingston,+TN,+37763,+USA/"
"L518031","Taco Bell Memphis","35.02030224","-89.93860259","3745 E Shelby Drive, Memphis, TN, 38118","3745 E Shelby Drive","Memphis","TN","38118","Shelby","901-369-1110","monday:10:00-23:00|tuesday:10:00-23:00|wednesday:10:00-23:00|thursday:10:00-23:00|friday:10:00-0|saturday:10:00-0|sunday:10:00-23:00","https://locations.tacobell.com/tn/memphis/3745-e--shelby-drive.html","Taco Bell","Food Chains","2023-05-10","USA","Open","https://www.google.com/maps/dir/Current+Location/3745+E+Shelby+Drive,+Memphis,+TN,+38118,+USA/"
"179835","Waffle House #506","35.827095","-84.27858","1116 Hwy 321 North, Lenoir City, TN, 37771","1116 Hwy 321 North","Lenoir City","TN","37771","Loudon","865-986-9200","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179835/waffle-house-506","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/1116+Hwy+321+North,+Lenoir+City,+TN,+37771,+USA/"
"178566","Waffle House #1095","36.08727","-86.693121","318 Harding Place, Nashville, TN, 37211","318 Harding Place","Nashville","TN","37211","Davidson","615-833-7388","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/178566/waffle-house-1095","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/318+Harding+Place,+Nashville,+TN,+37211,+USA/"
"179811","Waffle House #483","35.914613","-86.826866","1312 Murfreesboro Rd, Franklin, TN, 37064","1312 Murfreesboro Rd","Franklin","TN","37064","Williamson","615-794-1165","sunday :- 12:15 am-11:59 pm | monday :- 12:15 am-11:59 pm | tuesday :- 12:15 am-11:59 pm | wednesday :- 12:15 am-11:59 pm | thursday :- 12:15 am-11:59 pm | friday :- 12:15 am-11:59 pm | saturday :- 12:15 am-11:59 pm","https://locations.wafflehouse.com/shop/179811/waffle-house-483","Waffle House","Food Chains","2023-04-10","USA","Open","https://www.google.com/maps/dir/Current+Location/1312+Murfreesboro+Rd,+Franklin,+TN,+37064,+USA/"
