FIPS,State,County,Health Outcomes Z Score ,Health Outcomes Rank ,Health Factors Z Score ,Health Factors Rank ,Length of Life Z Score,Length of Life Rank,Quality of Life Z Score,Quality of Life Rank,Health Behaviors Z Score,Health Behaviors Rank,Clinical Care Z Score,Clinical Care Rank,Social Economic Factors Z Score,Social Economic Factors Rank,Physical Environment Z Score,Physical Environment Rank,Years of Potential Life Lost Rate, Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Poor mental health days 95 CI Low, Smokers,Adult smoking 95 CI Low, Adults with Obesity,Adult obesity 95 CI Low,Food Environment Index, Physically Inactive,Physically inactive 95 CI Low, With Access to Exercise Opportunities, Excessive Drinking,Excessive drinking 95 CI Low, Completed High School,High School Completion 95 CI Low, Some College, Some College, Unemployed, Unemployed, Children in Poverty,Children in Poverty 95 CI Low
47001,Tennessee,Anderson,-0.177814922,36,-0.293379966,21,0.0539524171,59,-0.231767339,23,-0.099211895,20,-0.166729561,9,-0.143673117,26,0.1162346076,95,10513.282899,20.968812865,4.7117472068,5.3086440477,4.8331153542,24.389787919,20.237804672,33.5,26.6,7.2,27.9,21.8,66.260698266,15.462586818,14.526441653,86.987929605,85.557783533,10306,57.614042934,1241,3.5508884374,21.9,15.704255319
47009,Tennessee,Blount,-0.980545372,10,-0.676123088,10,-0.450615065,14,-0.529930307,8,-0.136873023,15,-0.160085196,10,-0.367731981,9,-0.011432889,38,8762.914341,19.574206532,4.719831003,5.3034723309,4.8485196591,21.991439829,18.316582554,35.9,29.4,7.6,24.9,19.8,67.774977644,17.249362854,16.237466382,89.123071133,88.088447272,17639,58.403416992,2043,3.1864618264,14.1,9.3340425532
47011,Tennessee,Bradley,-0.729824532,16,-0.258151586,26,-0.540955701,9,-0.188868831,28,-0.038948799,32,-0.003180136,43,-0.234455305,16,0.0184326541,66,8449.5183849,22.206438721,5.0442226666,5.4172987893,4.9798734584,24.58979097,20.989660726,37.2,32.5,7.1,29.9,25.5,76.749896426,15.874333386,15.000997786,85.324743843,84.018402892,15187,57.38522577,1811,3.4518250262,17.4,12.038297872
47037,Tennessee,Davidson,-1.023968426,8,-0.677064302,9,-0.515190338,11,-0.508778088,10,-0.24236084,6,-0.08482992,19,-0.336166609,11,-0.013706933,37,8538.8996505,19.405585314,4.3855371908,4.9531750808,4.5957232284,20.474219607,17.500181817,29.2,26.1,7.7,22.8,20.3,90.912920609,16.853110834,16.194612713,89.071004844,88.594509739,168096,72.59849185,10308,2.5153119738,18.1,13.929787234
47059,Tennessee,Greene,0.2028024711,59,0.0549671257,49,0.1708715398,66,0.0319309313,53,-0.002673432,42,-0.06612216,26,0.1109352519,64,0.012827465,60,10918.880888,24.514759668,5.388990627,5.8625468601,5.3941484437,27.297977486,23.373931225,37.6,31.8,7.5,32.4,27.2,44.603449027,14.418105166,13.504705339,84.731182796,83.291060419,7764,49.881143591,1396,4.6541090182,24.3,16.912765957
47065,Tennessee,Hamilton,-0.711352126,18,-0.783627183,8,-0.516494949,10,-0.194857178,26,-0.236082183,7,-0.210654927,6,-0.306693686,13,-0.030196387,19,8534.3738957,19.538674536,4.7030950878,5.2714432176,4.8784355643,20.462121814,17.371975968,31.2,28.3,7.2,24.1,21.5,89.438065998,16.618153135,15.935091276,89.479820698,88.9071403,66094,68.360138594,6009,3.2410653607,18.8,14.987234043
47093,Tennessee,Knox,-0.924694958,13,-0.954001443,2,-0.322063281,24,-0.602631677,4,-0.270581006,4,-0.315671476,2,-0.408293445,5,0.040544484,80,9208.8665848,19.17683271,4.302701576,5.1729595508,4.7396648574,19.133932084,15.728850444,29.1,26.2,7.5,21.9,19.5,83.561146252,19.477711113,18.596322342,91.71503992,91.261109976,87109,72.478491671,7137,2.8985448387,15.7,12.60212766
47113,Tennessee,Madison,-0.074410197,47,-0.325143927,20,-0.088608206,40,0.0141980097,52,-0.024937144,35,-0.210725776,5,-0.030961675,43,-0.058519332,8,10018.733325,23.562260084,4.8531002191,5.3221646504,4.9952178058,23.239157477,20.504628915,40.2,36.3,7.0,30.8,27.7,77.295664028,13.567359494,12.982878355,88.860712804,87.7015453,13376,57.309340189,1766,3.568181359,28.9,22.942553191
47119,Tennessee,Maury,-0.897019601,14,-0.871528514,6,-0.482664964,13,-0.414354637,14,-0.200099729,10,-0.214658945,4,-0.400038244,7,-0.056731597,9,8651.73172,20.606794745,4.6017330033,5.2130593077,4.8224558293,21.971320058,19.035746213,31.9,26.1,7.9,31.5,26.4,59.907851178,16.058876524,15.17829648,90.15331394,89.040992262,14893,61.152172128,1582,3.1540961381,13.2,7.9574468085
47125,Tennessee,Montgomery,-0.932185417,12,-0.51730641,14,-0.382454093,18,-0.549731323,6,-0.051668888,29,-0.116953764,13,-0.323198317,12,-0.025485441,23,8999.3679882,21.184725292,4.6551238942,5.0427582413,4.7179999812,21.858731883,19.063228488,36.2,31.7,7.3,25.9,22.1,65.478062566,16.262228429,15.587586154,92.924539724,92.090492423,45763,70.601212607,3274,3.7972628161,16.4,12.34893617
