Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,URL,Provider,Category,Status,Direction URL,geometry
515919,A&w Restaurants White House,36.468717,-86.677374,"803 Hwy76, White House, TN, 37188",803 Hwy76,White House,TN,37188,Robertson,https://awrestaurants.com/locations/tennessee/white-house/803-hwy76,A&W Restaurants,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/803+Hwy76,+White+House,+TN,+37188,+USA/",POINT (-86.677374 36.468717)
515761,A&w Restaurants Sevierville,35.863789,-83.544746,"929 Dolly Parton Parkway, Sevierville, TN, 37862",929 Dolly Parton Parkway,Sevierville,TN,37862,Sevier,https://awrestaurants.com/locations/tennessee/sevierville/929-dolly-parton-parkway,A&W Restaurants,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/929+Dolly+Parton+Parkway,+Sevierville,+TN,+37862,+USA/",POINT (-83.544746 35.863789)
2090,"American Deli Memphis 1, Tn",35.052035,-89.88656,"3543 S Mendenhall Road, Memphis, TN, 38115",3543 S Mendenhall Road,Memphis,TN,38115,Shelby,https://americandeli.com/locations/,American Deli,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/3543+S+Mendenhall+Road,+Memphis,+TN,+38115,+USA/",POINT (-89.88656 35.052035)
2543,"American Deli Memphis 7, Tn",35.230857,-89.896479,"3850 Austin Peay Hwy, Memphis, TN, 38128",3850 Austin Peay Hwy,Memphis,TN,38128,Shelby,https://americandeli.com/locations/,American Deli,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/3850+Austin+Peay+Hwy,+Memphis,+TN,+38128,+USA/",POINT (-89.896479 35.230857)
2832,"American Deli Memphis 8, Tn",35.14533,-90.034166,"795 Poplar Ave, Memphis, TN, 38105",795 Poplar Ave,Memphis,TN,38105,Shelby,https://americandeli.com/locations/,American Deli,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/795+Poplar+Ave,+Memphis,+TN,+38105,+USA/",POINT (-90.034166 35.14533)
2914,"American Deli Memphis 9, Tn",35.161734,-89.795867,"1315 N Germantown Parkway, Cordova, TN, 38016",1315 N Germantown Parkway,Cordova,TN,38016,Shelby,https://americandeli.com/locations/,American Deli,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/1315+N+Germantown+Parkway,+Cordova,+TN,+38016,+USA/",POINT (-89.795867 35.161734)
2973,"American Deli Memphis 10, Tn",35.172046,-89.867585,"5849 Summer Ave, Memphis, TN, 38134",5849 Summer Ave,Memphis,TN,38134,Shelby,https://americandeli.com/locations/,American Deli,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/5849+Summer+Ave,+Memphis,+TN,+38134,+USA/",POINT (-89.867585 35.172046)
2094,"American Deli Memphis 5, Tn",35.107481,-89.94448,"3545 Park Ave, Memphis, TN, 38111",3545 Park Ave,Memphis,TN,38111,Shelby,https://americandeli.com/locations/,American Deli,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/3545+Park+Ave,+Memphis,+TN,+38111,+USA/",POINT (-89.94448 35.107481)
2093,"American Deli Memphis 4, Tn",35.164744,-89.952232,"3243 Jackson Ave, Memphis, TN, 38122",3243 Jackson Ave,Memphis,TN,38122,Shelby,https://americandeli.com/locations/,American Deli,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/3243+Jackson+Ave,+Memphis,+TN,+38122,+USA/",POINT (-89.952232 35.164744)
3049,"American Deli Memphis 11, Tn",35.049941,-89.841175,"6668 Winchester Rd, Memphis, TN, 38115",6668 Winchester Rd,Memphis,TN,38115,Shelby,https://americandeli.com/locations/,American Deli,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/6668+Winchester+Rd,+Memphis,+TN,+38115,+USA/",POINT (-89.841175 35.049941)
2095,"American Deli Memphis 6, Tn",35.019893,-89.82837,"7041 E Shelby Dr Suite 109 113, Memphis, TN, 38125",7041 E Shelby Dr Suite 109 113,Memphis,TN,38125,Shelby,https://americandeli.com/locations/,American Deli,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/7041+E+Shelby+Dr+Suite+109+113,+Memphis,+TN,+38125,+USA/",POINT (-89.82837 35.019893)
88070,Applebee's Cedar Lane,36.012117,-83.970578,"5316 Central Avenue (Merchants Lane), Knoxville, TN, 37912",5316 Central Avenue (Merchants Lane),Knoxville,TN,37912,Knox,https://restaurants.applebees.com/en-us/tn/knoxville/5316-central-avenue-88070,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/5316+Central+Avenue+(Merchants+Lane),+Knoxville,+TN,+37912,+USA/",POINT (-83.970578 36.012117)
75073,Applebee's Sevierville,35.838866,-83.562477,"207 Collier Drive, Sevierville, TN, 37862",207 Collier Drive,Sevierville,TN,37862,Sevier,https://restaurants.applebees.com/en-us/tn/sevierville/207-collier-drive-75073,Applebees International,Food Chains,Open,"https://www.google.com/maps/dir/Current+Location/207+Collier+Drive,+Sevierville,+TN,+37862,+USA/",POINT (-83.562477 35.838866)
