Label,County,Percent
White,"Shelby County, Tennessee",34.6%
White,"Williamson County, Tennessee",82.9%
White,"Davidson County, Tennessee",56.4%
White,"Sumner County, Tennessee",82.2%
White,"Rutherford County, Tennessee",68.3%
White,"Hamilton County, Tennessee",70.3%
White,"Montgomery County, Tennessee",70.3%
White,"Sullivan County, Tennessee",70.3%
White,"Wilson County, Tennessee",70.3%
White,"Knox County, Tennessee",70.3%
Black or African American,"Shelby County, Tennessee",53.0%
Black or African American,"Williamson County, Tennessee",3.7%
Black or African American,"Davidson County, Tennessee",25.3%
Black or African American,"Sumner County, Tennessee",8.2%
Black or African American,"Rutherford County, Tennessee",14.6%
Black or African American,"Hamilton County, Tennessee",18.5%
Black or African American,"Montgomery County, Tennessee",18.5%
Black or African American,"Sullivan County, Tennessee",18.5%
Black or African American,"Wilson County, Tennessee",18.5%
Black or African American,"Knox County, Tennessee",18.5%
Hispanic or Latino (of any race),"Shelby County, Tennessee",6.9%
Hispanic or Latino (of any race),"Williamson County, Tennessee",5.2%
Hispanic or Latino (of any race),"Davidson County, Tennessee",10.6%
Hispanic or Latino (of any race),"Sumner County, Tennessee",5.9%
Hispanic or Latino (of any race),"Rutherford County, Tennessee",9.5%
Hispanic or Latino (of any race),"Hamilton County, Tennessee",6.4%
Hispanic or Latino (of any race),"Montgomery County, Tennessee",6.4%
Hispanic or Latino (of any race),"Sullivan County, Tennessee",6.4%
Hispanic or Latino (of any race),"Wilson County, Tennessee",6.4%
Hispanic or Latino (of any race),"Knox County, Tennessee",6.4%
Other,"Shelby County, Tennessee",5.5%
Other,"Williamson County, Tennessee",8.2%
Other,"Davidson County, Tennessee",7.7%
Other,"Sumner County, Tennessee",3.7%
Other,"Rutherford County, Tennessee",7.6%
Other,"Hamilton County, Tennessee",4.8%
Other,"Montgomery County, Tennessee",4.8%
Other,"Sullivan County, Tennessee",4.8%
Other,"Wilson County, Tennessee",4.8%
Other,"Knox County, Tennessee",4.8%
