Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Provider,Category,Population,Fast Food Density, Adults with Obesity
037154,Taco Bell Kingsport,36.5523039,-82.62671505,"4200 W Stone Drive, Kingsport, TN, 37660",4200 W Stone Drive,Kingsport,TN,37660,Sullivan,Taco Bell,Food Chains,159265.0,0.0009606630458669514,33.3
6253,Sweetwtr-I-75,35.599205,-84.510459,"223 Hwy 68, Cleveland, TN, 37312",223 Hwy 68,Cleveland,TN,37312,Bradley,McDonalds,Food Chains,110162.0,0.0009168315753163523,37.2
25526,Greenville,36.147469,-82.847765,"504 Asheville Hwy, Greeneville, TN, 37743",504 Asheville Hwy,Greeneville,TN,37743,Greene,McDonalds,Food Chains,70621.0,0.0007363248891972642,37.6
38625,"Greenbrier, Tn",36.427472,-86.80477,"Us 41s & College Street, Greenbrier, TN, 37073",Us 41s & College Street,Greenbrier,TN,37073,Robertson,McDonalds,Food Chains,74098.0,0.0008097384544792032,38.1
12945,Portland Tn,36.575838,-86.514752,"401 S Broadway, Portland, TN, 37148",401 S Broadway,Portland,TN,37148,Sumner,McDonalds,Food Chains,200557.0,0.0007080281416255728,27.2
L518031,Taco Bell Memphis,35.02030224,-89.93860259,"3745 E Shelby Drive, Memphis, TN, 38118",3745 E Shelby Drive,Memphis,TN,38118,Shelby,Taco Bell,Food Chains,924454.0,0.0007680209074761967,34.9
178566,Waffle House #1095,36.08727,-86.693121,"318 Harding Place, Nashville, TN, 37211",318 Harding Place,Nashville,TN,37211,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313,29.2
179811,Waffle House #483,35.914613,-86.826866,"1312 Murfreesboro Rd, Franklin, TN, 37064",1312 Murfreesboro Rd,Franklin,TN,37064,Williamson,Waffle House,Food Chains,255735.0,0.0009345611668328544,22.5
179834,Waffle House #185,36.184729,-86.297915,"819 South Cumberland, Lebanon, TN, 37087",819 South Cumberland,Lebanon,TN,37087,Wilson,Waffle House,Food Chains,151917.0,0.0008754780570969674,33.7
179825,Waffle House #1933,35.909595,-83.85227,"7205 Chapman Highway, Knoxville, TN, 37920",7205 Chapman Highway,Knoxville,TN,37920,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079,29.1
179839,Waffle House #2187,35.7212,-84.0061,"2118 Us Hwy 411 S, Maryville, TN, 37801",2118 Us Hwy 411 S,Maryville,TN,37801,Blount,Waffle House,Food Chains,137605.0,0.0006976490679844482,35.9
179489,Waffle House #1889,35.879838,-83.777879,"10638 Chapman Hwy, Seymour, TN, 37865",10638 Chapman Hwy,Seymour,TN,37865,Sevier,Waffle House,Food Chains,99517.0,0.0014871830943456897,44.0
