Store No.,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Provider,Category,Population,Fast Food Density
037154,Taco Bell Kingsport,36.5523039,-82.62671505,"4200 W Stone Drive, Kingsport, TN, 37660",4200 W Stone Drive,Kingsport,TN,37660,Sullivan,Taco Bell,Food Chains,159265.0,0.0009606630458669514
12945,Portland Tn,36.575838,-86.514752,"401 S Broadway, Portland, TN, 37148",401 S Broadway,Portland,TN,37148,Sumner,McDonalds,Food Chains,200557.0,0.0007080281416255728
L518031,Taco Bell Memphis,35.02030224,-89.93860259,"3745 E Shelby Drive, Memphis, TN, 38118",3745 E Shelby Drive,Memphis,TN,38118,Shelby,Taco Bell,Food Chains,924454.0,0.0007680209074761967
178566,Waffle House #1095,36.08727,-86.693121,"318 Harding Place, Nashville, TN, 37211",318 Harding Place,Nashville,TN,37211,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
179811,Waffle House #483,35.914613,-86.826866,"1312 Murfreesboro Rd, Franklin, TN, 37064",1312 Murfreesboro Rd,Franklin,TN,37064,Williamson,Waffle House,Food Chains,255735.0,0.0009345611668328544
179834,Waffle House #185,36.184729,-86.297915,"819 South Cumberland, Lebanon, TN, 37087",819 South Cumberland,Lebanon,TN,37087,Wilson,Waffle House,Food Chains,151917.0,0.0008754780570969674
179825,Waffle House #1933,35.909595,-83.85227,"7205 Chapman Highway, Knoxville, TN, 37920",7205 Chapman Highway,Knoxville,TN,37920,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079
179814,Waffle House #2107,36.3092,-86.6021,"241 East Main St, Hendersonville, TN, 37075",241 East Main St,Hendersonville,TN,37075,Sumner,Waffle House,Food Chains,200557.0,0.0007080281416255728
178140,Waffle House #2238,36.514771,-87.298126,"1931 Madison Street, Clarksville, TN, 37043",1931 Madison Street,Clarksville,TN,37043,Montgomery,Waffle House,Food Chains,227900.0,0.0007591048705572619
179848,Waffle House #2282,35.875097,-86.352681,"2107 Lascassas Pike, Murfreesboro, TN, 37130",2107 Lascassas Pike,Murfreesboro,TN,37130,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654
179567,Waffle House #1993,36.426061,-82.317307,"6576 Hwy 11 East, Piney Flats, TN, 37686",6576 Hwy 11 East,Piney Flats,TN,37686,Sullivan,Waffle House,Food Chains,159265.0,0.0009606630458669514
178988,Waffle House #1654,35.083692,-85.204135,"4343 Highway 58, Chattanooga, TN, 37416",4343 Highway 58,Chattanooga,TN,37416,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192
179850,Waffle House #2154,35.8354,-86.3513,"3009 S Rutherford, Murfreesboro, TN, 37130",3009 S Rutherford,Murfreesboro,TN,37130,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654
178993,Waffle House #555,35.04262,-85.15872,"7047 Amin Drive, Chattanooga, TN, 37421",7047 Amin Drive,Chattanooga,TN,37421,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192
178567,Waffle House #1105,36.00574178,-83.77258436,"7414 Strawberry, Knoxville, TN, 37924",7414 Strawberry,Knoxville,TN,37924,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079
179828,Waffle House #444,35.907575,-84.147356,"507 Lovell Rd, Knoxville, TN, 37922",507 Lovell Rd,Knoxville,TN,37922,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079
178408,Waffle House #2353,36.5902,-82.265,"275 Pinnacle Pkwy, Bristol, TN, 37620",275 Pinnacle Pkwy,Bristol,TN,37620,Sullivan,Waffle House,Food Chains,159265.0,0.0009606630458669514
179565,Waffle House #661,35.083956,-85.075722,"8912 Lee Hwy, Ooltewah, TN, 37363",8912 Lee Hwy,Ooltewah,TN,37363,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192
178141,Waffle House #620,36.52482591,-87.22521083,"1114 State Road 76, Clarksville, TN, 37043",1114 State Road 76,Clarksville,TN,37043,Montgomery,Waffle House,Food Chains,227900.0,0.0007591048705572619
179476,Waffle House #2035,35.767473,-86.917767,"2106 Wall Street, Spring Hill, TN, 37174",2106 Wall Street,Spring Hill,TN,37174,Williamson,Waffle House,Food Chains,255735.0,0.0009345611668328544
179573,Waffle House #320,36.12992486,-86.90143255,"6930 Charlotte Pike, Nashville, TN, 37209",6930 Charlotte Pike,Nashville,TN,37209,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
179572,Waffle House #2129,36.192279,-86.829767,"3103 Clarksville, Nashville, TN, 37218",3103 Clarksville,Nashville,TN,37218,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
179571,Waffle House #2071,36.16939,-86.673397,"2625 Lebanon Pike, Nashville, TN, 37214",2625 Lebanon Pike,Nashville,TN,37214,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
179810,Waffle House #2283,35.945115,-86.819468,"3048 Mallory Lane, Franklin, TN, 37067",3048 Mallory Lane,Franklin,TN,37067,Williamson,Waffle House,Food Chains,255735.0,0.0009345611668328544
178135,Waffle House #1183,36.04097,-86.77945,"790 Old Hickory Blvd, Brentwood, TN, 37027",790 Old Hickory Blvd,Brentwood,TN,37027,Williamson,Waffle House,Food Chains,255735.0,0.0009345611668328544
179830,Waffle House #766,36.0134347,-83.9690691,"119a Cedar Lane, Knoxville, TN, 37912",119a Cedar Lane,Knoxville,TN,37912,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079
179849,Waffle House #2215,35.81918,-86.396186,"1928 South Church St, Murfreesboro, TN, 37130",1928 South Church St,Murfreesboro,TN,37130,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654
179570,Waffle House #2012,36.083631,-86.727829,"4021 Nolensville, Nashville, TN, 37211",4021 Nolensville,Nashville,TN,37211,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
178574,Waffle House #1218,35.974142,-86.49277,"794 Nissan Dr, Smyrna, TN, 37167",794 Nissan Dr,Smyrna,TN,37167,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654
178409,Waffle House #1277,35.20543144,-89.792194,"2931 Germantown Rd, Memphis, TN, 38134",2931 Germantown Rd,Memphis,TN,38134,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967
179584,Waffle House #950,36.13525924,-86.72421646,"816 Murfreesboro Rd, Nashville, TN, 37217",816 Murfreesboro Rd,Nashville,TN,37217,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
178136,Waffle House #1713,36.541213,-87.367798,"734 N Riverside Dr, Clarksville, TN, 37040",734 N Riverside Dr,Clarksville,TN,37040,Montgomery,Waffle House,Food Chains,227900.0,0.0007591048705572619
179464,Waffle House #641,35.061556,-85.133051,"7705 Lee Highway, Chattanooga, TN, 37421",7705 Lee Highway,Chattanooga,TN,37421,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192
178580,Waffle House #128,36.54725625,-82.51704533,"1668 E Stone Drive, Kingsport, TN, 37660",1668 E Stone Drive,Kingsport,TN,37660,Sullivan,Waffle House,Food Chains,159265.0,0.0009606630458669514
178133,Waffle House #2169,36.0517,-86.6454,"790 Bell Road, Antioch, TN, 37013",790 Bell Road,Antioch,TN,37013,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
179581,Waffle House #834,36.21577351,-86.68897951,"2727 Mcgavock Pike, Nashville, TN, 37214",2727 Mcgavock Pike,Nashville,TN,37214,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
179840,Waffle House #2258,35.04948,-89.828796,"7125 Winchester Road, Memphis, TN, 38125",7125 Winchester Road,Memphis,TN,38125,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967
179829,Waffle House #447,36.00946423,-83.84391202,"5416 Asheville Hwy, Knoxville, TN, 37914",5416 Asheville Hwy,Knoxville,TN,37914,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079
179580,Waffle House #802,36.15400811,-86.62556121,"707 Stewarts Ferry, Nashville, TN, 37214",707 Stewarts Ferry,Nashville,TN,37214,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
221914,Waffle House #2401,35.008878,-85.15292,"7801 E Brainerd Rd, Chattanooga, TN, 37421",7801 E Brainerd Rd,Chattanooga,TN,37421,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192
178992,Waffle House #401,35.012846,-85.227637,"4903 Brainard Road, Chattanooga, TN, 37411",4903 Brainard Road,Chattanooga,TN,37411,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192
178137,Waffle House #794,36.59492755,-87.28780952,"3069 Wilma Rudolph, Clarksville, TN, 37040",3069 Wilma Rudolph,Clarksville,TN,37040,Montgomery,Waffle House,Food Chains,227900.0,0.0007591048705572619
178982,Waffle House #1313,35.188251,-89.792284,"8135 Varnavas Rd, Cordova, TN, 38016",8135 Varnavas Rd,Cordova,TN,38016,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967
178985,Waffle House #1373,36.3822901,-86.46064629,"644 Nashville Pike, Gallatin, TN, 37066",644 Nashville Pike,Gallatin,TN,37066,Sumner,Waffle House,Food Chains,200557.0,0.0007080281416255728
179827,Waffle House #293,35.937906,-84.008243,"6230 Papermill Rd, Knoxville, TN, 37919",6230 Papermill Rd,Knoxville,TN,37919,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079
178576,Waffle House #1232,35.22465842,-89.73745003,"3640 Canada Rd, Arlington, TN, 38002",3640 Canada Rd,Arlington,TN,38002,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967
179843,Waffle House #817,35.075448,-89.920604,"4314 American Way, Memphis, TN, 38118",4314 American Way,Memphis,TN,38118,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967
179824,Waffle House #160,36.078788,-83.926886,"7102 Maynardsville, Knoxville, TN, 37918",7102 Maynardsville,Knoxville,TN,37918,Knox,Waffle House,Food Chains,486677.0,0.0008321741113716079
178570,Waffle House #1188,35.139765,-85.247871,"5466 Hwy 153, Hixson, TN, 37343",5466 Hwy 153,Hixson,TN,37343,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192
179832,Waffle House #452,35.998654,-86.597645,"108 Enterprise Blvd, La Vergne, TN, 37086",108 Enterprise Blvd,La Vergne,TN,37086,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654
179463,Waffle House #626,35.017274,-85.38216,"28 Birmingham Hwy, Chattanooga, TN, 37419",28 Birmingham Hwy,Chattanooga,TN,37419,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192
179846,Waffle House #528,35.8482,-86.431364,"2210 Armory Dr, Murfreesboro, TN, 37129",2210 Armory Dr,Murfreesboro,TN,37129,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654
178134,Waffle House #2267,36.051874,-86.615689,"3571 Murfreesboro Pk, Antioch, TN, 37013",3571 Murfreesboro Pk,Antioch,TN,37013,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
179582,Waffle House #843,36.14446975,-86.66697264,"556 Donelson Pike, Nashville, TN, 37214",556 Donelson Pike,Nashville,TN,37214,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
178573,Waffle House #1216,35.807403,-86.397144,"2477 S Church St, Murfreesboro, TN, 37127",2477 S Church St,Murfreesboro,TN,37127,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654
179812,Waffle House #472,36.324565,-86.70114,"941 Conference Dr, Goodlettsville, TN, 37072",941 Conference Dr,Goodlettsville,TN,37072,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
178989,Waffle House #263,35.08402824,-85.31797613,"102 Signal Mtn Rd, Chattanooga, TN, 37405",102 Signal Mtn Rd,Chattanooga,TN,37405,Hamilton,Waffle House,Food Chains,369135.0,0.00093732645238192
179833,Waffle House #2213,35.20559,-89.736781,"9780 Us Highway 64, Arlington, TN, 38002",9780 Us Highway 64,Arlington,TN,38002,Shelby,Waffle House,Food Chains,924454.0,0.0007680209074761967
179845,Waffle House #848,36.168494,-86.514925,"326 S Mt Juliet Rd, Mount Juliet, TN, 37122",326 S Mt Juliet Rd,Mount Juliet,TN,37122,Wilson,Waffle House,Food Chains,151917.0,0.0008754780570969674
179576,Waffle House #511,36.151022,-86.857175,"408 White Bridge Pl, Nashville, TN, 37209",408 White Bridge Pl,Nashville,TN,37209,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
179491,Waffle House #1913,35.983129,-86.55614,"315 Wolverine Trl, Smyrna, TN, 37167",315 Wolverine Trl,Smyrna,TN,37167,Rutherford,Waffle House,Food Chains,352182.0,0.0008319562044624654
178138,Waffle House #1164,36.580126,-87.40958,"1683 A Fort Campbell, Clarksville, TN, 37042",1683 A Fort Campbell,Clarksville,TN,37042,Montgomery,Waffle House,Food Chains,227900.0,0.0007591048705572619
178139,Waffle House #1678,36.637992,-87.435792,"3323 Ft Campbell, Clarksville, TN, 37042",3323 Ft Campbell,Clarksville,TN,37042,Montgomery,Waffle House,Food Chains,227900.0,0.0007591048705572619
179579,Waffle House #706,36.235758,-86.758352,"3304 Dickerson Rd, Nashville, TN, 37207",3304 Dickerson Rd,Nashville,TN,37207,Davidson,Waffle House,Food Chains,703953.0,0.000869376222560313
