FIPS,State,County,Health Outcomes Z Score ,Health Outcomes Rank ,Health Factors Z Score ,Health Factors Rank ,Length of Life Z Score,Length of Life Rank,Quality of Life Z Score,Quality of Life Rank,Health Behaviors Z Score,Health Behaviors Rank,Clinical Care Z Score,Clinical Care Rank,Social Economic Factors Z Score,Social Economic Factors Rank,Physical Environment Z Score,Physical Environment Rank,Years of Potential Life Lost Rate, Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,Poor mental health days 95 CI Low, Smokers,Adult smoking 95 CI Low, Adults with Obesity,Adult obesity 95 CI Low,Food Environment Index, Physically Inactive,Physically inactive 95 CI Low, With Access to Exercise Opportunities, Excessive Drinking,Excessive drinking 95 CI Low, Completed High School,High School Completion 95 CI Low, Some College, Some College, Unemployed, Unemployed, Children in Poverty,Children in Poverty 95 CI Low
47001,Tennessee,Anderson,-0.177814922,36,-0.293379966,21,0.0539524171,59,-0.231767339,23,-0.099211895,20,-0.166729561,9,-0.143673117,26,0.1162346076,95,10513.282899,20.968812865,4.7117472068,5.3086440477,4.8331153542,24.389787919,20.237804672,33.5,26.6,7.2,27.9,21.8,66.260698266,15.462586818,14.526441653,86.987929605,85.557783533,10306,57.614042934,1241,3.5508884374,21.9,15.704255319
47003,Tennessee,Bedford,-0.215005298,35,0.0215935773,46,-0.138298229,35,-0.076707069,38,0.0447522491,58,0.0545921683,63,-0.075175799,36,-0.002575041,47,9846.3562786,24.593911458,5.2605188424,5.4846664074,5.093735948,26.273946007,23.113207596,34.4,26.6,7.7,32.2,24.7,49.496204891,15.800384684,14.921129478,82.08009489,79.60744698,5408,43.63401646,786,3.70352919,19.2,12.170212766
47005,Tennessee,Benton,1.323649644,89,0.4018999427,79,1.1212359277,93,0.2024137162,66,0.143486098,83,0.053914091,61,0.1860119234,73,0.0184878303,67,14215.740084,27.229465552,5.8605889351,5.9858973531,5.4913899561,29.892995642,25.802776237,33.0,23.5,6.8,26.1,18.2,48.30493056,15.3234798,14.259114855,82.350449076,79.266096321,1503,46.983432323,311,4.4658242389,27.8,17.910638298
47007,Tennessee,Bledsoe,-0.719543946,17,0.939240836,92,-0.701095956,7,-0.01844799,45,0.2188230228,92,0.1740792097,89,0.5825967103,93,-0.036258107,14,7893.9842331,26.523381781,5.6929520939,5.790824444,5.313718108,28.415881289,24.735461403,37.2,26.5,7.2,30.5,21.0,23.80397639,15.848151989,14.854315245,75.607324148,71.673579053,1493,37.29702723,235,5.4072710538,40.6,31.425531915
47009,Tennessee,Blount,-0.980545372,10,-0.676123088,10,-0.450615065,14,-0.529930307,8,-0.136873023,15,-0.160085196,10,-0.367731981,9,-0.011432889,38,8762.914341,19.574206532,4.719831003,5.3034723309,4.8485196591,21.991439829,18.316582554,35.9,29.4,7.6,24.9,19.8,67.774977644,17.249362854,16.237466382,89.123071133,88.088447272,17639,58.403416992,2043,3.1864618264,14.1,9.3340425532
47011,Tennessee,Bradley,-0.729824532,16,-0.258151586,26,-0.540955701,9,-0.188868831,28,-0.038948799,32,-0.003180136,43,-0.234455305,16,0.0184326541,66,8449.5183849,22.206438721,5.0442226666,5.4172987893,4.9798734584,24.58979097,20.989660726,37.2,32.5,7.1,29.9,25.5,76.749896426,15.874333386,15.000997786,85.324743843,84.018402892,15187,57.38522577,1811,3.4518250262,17.4,12.038297872
47013,Tennessee,Campbell,1.5431640951,93,0.4516925552,81,1.0496866211,92,0.493477474,87,0.0666269752,68,0.0788320976,75,0.3111785298,87,-0.004945047,45,13967.532141,26.848980884,5.7301111187,6.1256860879,5.6269125792,29.407725013,25.474876088,31.0,23.4,6.6,31.4,23.2,65.212692799,15.031758511,14.042298519,77.26844584,74.958549737,4009,42.867835757,687,4.5867271999,31.1,22.282978723
47015,Tennessee,Cannon,0.530893016,73,-0.015991455,41,0.5261471641,84,0.004745852,48,0.0779371571,71,0.0451014127,58,-0.135837632,27,-0.003192394,46,12151.348901,23.656680386,5.2671458642,5.7575349472,5.324935398,27.244233353,23.528200777,38.8,27.1,8.1,25.9,16.5,21.194116368,16.422732824,15.342607614,84.534964,82.057687141,1541,44.104178592,205,3.066108286,19.5,11.874468085
47017,Tennessee,Carroll,-0.222934007,34,0.000248113,43,-0.049972095,45,-0.172961913,30,-0.045938886,31,-0.021671674,40,0.0581089132,54,0.0097497593,58,10152.763832,24.821287248,5.3315933337,5.6832809606,5.237963898,25.777938496,22.441308587,33.8,26.4,7.3,32.8,25.6,24.100694201,15.247202399,14.318062608,84.123198175,82.298615921,3219,53.338856669,590,4.8471902728,23.6,14.90212766
47019,Tennessee,Carter,0.2786416042,65,0.2004843748,63,0.0494607444,58,0.2291808598,67,0.1192184658,81,0.0478681232,59,0.0242731557,49,0.00912463,56,10497.701073,25.856046665,5.5689934889,5.8149537554,5.3317159251,27.84343332,24.033961767,38.1,32.0,5.7,30.2,24.5,81.128099749,15.511265045,14.517933738,83.518787677,81.66837725,7084,52.509080127,983,4.0589644066,27.6,19.259574468
